,concept_code,concept_name,domain_id,vocabulary_id,concept_class_id,valid_start_date,valid_end_date,invalid_reason,synonyms,material,dosage,dosage_unit,concept_code_bf,ancestor_concept_code
1,E2001050,B-P KNEE FEMORAL COMPONENT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,B-P KNEE FEMORAL COMPONENT,TITANIUM ALLOY + TIN COATING,NA,NA,NA,NA
2,E2011050,B-P KNEE TIBIAL COMPONENT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,B-P KNEE TIBIAL COMPONENT,TITANIUM ALLOY + TIN COATING,NA,NA,NA,NA
3,E2021050,B-P KNEE BEARING,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,B-P KNEE BEARING,UHMWPE,NA,NA,NA,NA
4,E2031050,B-P KNEE PATELLAR COMPONENT,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,B-P KNEE PATELLAR COMPONENT,UHMWPE,NA,NA,NA,NA
5,J7001012,HUBER EXTENSION SET DISTRICATH,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,HUBER EXTENSION SET DISTRICATH,STAINLESS STEEL 등,NA,NA,NA,NA
6,K1002002,INTEGRA ARTIFICIAL SKIN,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,INTEGRA ARTIFICIAL SKIN,BOVINE COLLAGEN+SILICON,NA,NA,NA,NA
7,K1002003,INTEGRA ARTIFICIAL SKIN,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,INTEGRA ARTIFICIAL SKIN,BOVINE COLLAGEN+SILICON,NA,NA,NA,NA
8,K4021007,ENDOTRACHEAL TUBES (ENDOSOFT-PLUS),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ENDOTRACHEAL TUBES (ENDOSOFT-PLUS),PVC,NA,NA,NA,NA
9,K4021107,ENDOTRACHEAL TUBE ORAL CUFFED,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ENDOTRACHEAL TUBE ORAL CUFFED,PVC,NA,NA,NA,NA
10,K4022007,ENDOTRACHEAL TUBES (PLAIN) UNCUFF,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ENDOTRACHEAL TUBES (PLAIN) UNCUFF,PVC,NA,NA,NA,NA
11,K4022107,ENDOTRACHEAL TUBE ORAL UNCUFFED,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ENDOTRACHEAL TUBE ORAL UNCUFFED,PVC,NA,NA,NA,NA
12,K4041007,ENDOTRACHEAL TUBES REINFORCED(ENDOSOFT-PLUS),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ENDOTRACHEAL TUBES REINFORCED(ENDOSOFT-PLUS),PVC,NA,NA,NA,NA
13,K4042007,ENDOTRACHEAL TUBES (PLAIN),Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ENDOTRACHEAL TUBES (PLAIN),PVC,NA,NA,NA,NA
14,K4063007,ENDOTRACHEAL TUBE NASAL UNCUFFED,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ENDOTRACHEAL TUBE NASAL UNCUFFED,PVC,NA,NA,NA,NA
15,K4064007,ENDOTRACHEAL TUBE NASAL CUFFED,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,ENDOTRACHEAL TUBE NASAL CUFFED,PVC,NA,NA,NA,NA
16,K5201007,S.E.C (SILICONE ELASTOMER) FOLEY CATHETER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,S.E.C (SILICONE ELASTOMER) FOLEY CATHETER,SILICONE ELASTOMER BONDING,NA,NA,NA,NA
17,K5211007,S.E.C (SILICONE ELASTOMER) FOLEY CATHETER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,S.E.C (SILICONE ELASTOMER) FOLEY CATHETER,SILICONE ELASTOMER BONDING,NA,NA,NA,NA
18,K5400007,REINFORCED HEMATURIA CATHETER,Device,Korean EDI,Therapeutic materials,1970-01-01,2019-10-31,D,REINFORCED HEMATURIA CATHETER,SILICON ELASTOMER,NA,NA,NA,NA
